userid,score,City,Gender,Age,Objects,Balance,Products,CreditCard,Loyalty,estimated_salary,Churn
15641229,656,Ярославль,М,50,7,,2,0,1,72143.44,0
15644010,667,Рыбинск,Ж,40,1,146502.07,1,1,0,19162.89,0
15745405,663,Ростов Великий,М,44,2,117028.6,2,0,1,144680.18,0
15771405,584,Ростов Великий,Ж,30,8,112013.81,1,1,0,177772.03,1
15785404,626,Рыбинск,Ж,37,6,108269.37,1,1,0,5597.94,0
15740177,485,Ярославль,М,29,7,182123.79,1,1,0,116828.51,1
15783212,659,Ростов Великий,Ж,32,3,150923.74,2,0,1,174652.51,0
15690800,649,Ярославль,М,33,2,,2,1,0,2010.98,0
15679360,805,Рыбинск,Ж,39,5,165272.13,1,1,0,14109.85,1
15850659,716,Ростов Великий,Ж,39,10,115301.31,1,1,0,43527.4,1
15788580,642,Ростов Великий,Ж,40,6,129502.49,2,0,1,86099.23,1
15828906,659,Ярославль,М,31,4,118342.26,1,0,0,161574.19,0
15723817,545,Рыбинск,Ж,47,5,,2,1,1,38970.14,0
15727220,543,Ярославль,М,22,8,,2,0,0,127587.22,0
15828605,718,Ярославль,Ж,25,7,,2,1,0,30380.12,0
15806595,840,Ярославль,Ж,43,7,,2,1,0,90908.95,0
15701671,630,Ростов Великий,Ж,34,9,106937.05,2,1,0,138275.01,0
15790094,643,Ростов Великий,М,59,3,170331.37,1,1,1,32171.79,0
15777939,654,Ростов Великий,Ж,32,1,114510.85,1,1,1,126143.23,0
15618992,582,Ярославль,М,39,5,,2,1,1,129892.93,0
15702156,659,Рыбинск,М,32,3,107594.11,2,1,1,102416.84,0
15636101,762,Рыбинск,М,39,2,81273.13,1,1,1,18719.67,0
15820088,568,Рыбинск,Ж,32,7,169399.6,1,1,0,61936.22,0
15854743,670,Рыбинск,М,25,6,,2,1,1,78358.94,0
15668197,613,Ярославль,Ж,45,1,187841.99,2,1,1,147224.27,0
15782174,539,Ярославль,М,30,0,,2,1,0,160979.66,0
15654495,850,Рыбинск,Ж,57,8,126776.3,2,1,1,132298.49,0
15704365,522,Рыбинск,М,34,9,126436.29,1,1,0,174248.52,1
15676686,737,Ярославль,М,41,1,101960.74,1,1,1,123547.28,0
15635122,520,Ярославль,М,58,3,,2,0,1,32790.02,0
15846452,706,Рыбинск,М,28,3,,2,0,1,181543.67,0
15739410,643,Ростов Великий,Ж,45,2,150842.93,1,0,1,2319.96,1
15749101,648,Ярославль,Ж,50,9,102535.57,1,1,1,189543.19,0
15787824,443,Ростов Великий,Ж,29,9,99027.61,2,1,0,10940.4,0
15719451,640,Ярославль,М,68,9,,2,1,1,199493.38,0
15655821,628,Рыбинск,Ж,33,3,,1,1,1,188193.25,0
15676273,540,Ростов Великий,Ж,42,9,87271.41,2,1,0,172572.64,0
15637456,460,Ростов Великий,Ж,35,8,102742.91,2,1,1,189339.6,0
15726778,636,Ростов Великий,М,34,2,40105.51,2,0,1,53512.16,0
15626039,593,Ярославль,Ж,29,2,152265.43,1,1,0,34004.44,0
15654315,801,Рыбинск,М,42,4,141947.67,1,1,1,10598.29,0
15817432,640,Ростов Великий,Ж,75,1,106307.91,2,0,1,113428.77,0
15737242,611,Ростов Великий,М,31,0,107884.81,2,1,1,183487.98,0
15730810,802,Ростов Великий,М,31,1,125013.72,1,1,1,187658.09,0
15802273,717,Ростов Великий,М,35,7,58469.37,2,1,1,172459.39,0
15801185,769,Ярославль,Ж,39,8,,1,0,1,21016.0,0
15626192,745,Ростов Великий,М,45,10,117231.63,3,1,1,122381.02,1
15710607,572,Рыбинск,М,35,4,152390.26,1,1,0,128123.66,0
15720107,629,Рыбинск,Ж,30,2,34013.63,1,1,0,19570.63,0
15672413,687,Рыбинск,Ж,39,2,,3,0,0,188150.6,1
15756314,483,Ярославль,Ж,50,9,,2,1,1,111020.24,0
15634245,690,Ярославль,М,36,7,101583.11,2,1,0,123775.15,0
15610976,492,Ростов Великий,Ж,30,10,77168.87,2,0,1,146700.22,0
